,Unnamed: 0,Unnamed: 0.1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,ahorro,cheking,vivienda,proposito,outlier,Clusters,pca1,pca2
221,345,345,43,female,1,own,little,None,1459,15,radio/TV,1,2,0,0,1,1,-0.2025094284709074,-0.20566878030343202
222,346,346,23,male,2,own,little,moderate,882,13,radio/TV,1,1,0,0,1,1,-0.18031998801623686,-0.3347023344240248
223,350,350,23,female,2,rent,little,None,1236,9,domestic appliances,1,2,2,5,1,-1,-0.15278999237587246,0.35162332061787754
224,351,351,29,female,2,own,little,moderate,959,9,furniture/equipment,1,1,0,2,1,0,-0.24277373956982942,-0.017194452470332126
225,352,352,38,male,3,own,None,None,3229,18,car,0,2,0,3,1,0,0.031918117819707645,0.1726194835040059
226,355,355,23,male,1,own,little,moderate,1246,24,car,1,1,0,3,1,0,0.0749095003021433,0.05276382848466719
227,356,356,49,male,2,own,None,None,2331,12,radio/TV,0,2,0,0,1,1,-0.22478022673108589,-0.15614179645829065
228,357,357,26,male,3,own,little,None,4463,36,radio/TV,1,2,0,0,1,2,0.4331154757738737,-0.33782346020100223
229,358,358,28,male,2,own,little,None,776,12,radio/TV,1,2,0,0,1,1,-0.22789126658620798,-0.3010706656255743
230,359,359,23,female,2,rent,little,little,2406,30,furniture/equipment,1,0,2,2,1,0,0.23891566022816527,-0.08715954886644874
231,362,362,36,female,2,own,little,rich,2247,12,car,1,3,0,3,1,0,-0.12551288160840082,0.16527694308897065
232,363,363,21,male,2,rent,little,None,1766,6,furniture/equipment,1,2,2,2,1,0,-0.20338004387437744,-0.05866305279671438
233,364,364,25,male,0,own,little,little,2473,18,furniture/equipment,1,0,0,2,1,0,0.02902639378030959,-0.051253042009777705
234,365,365,36,male,2,own,little,None,1542,12,business,1,2,0,4,1,-1,-0.15723938713326244,0.2965471450760648
235,366,366,27,male,2,own,little,None,3850,18,car,1,2,0,3,1,0,0.12445473182525937,0.1050126640754454
236,367,367,22,female,2,rent,little,little,3650,18,furniture/equipment,1,0,2,2,1,0,0.12036168066630748,-0.06385942370551823
237,368,368,42,male,2,own,little,little,3446,36,furniture/equipment,1,0,0,2,1,-1,0.3200954918661885,0.030556502324734423
238,369,369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,1,1,2,2,1,0,-0.006975805179981193,0.04889503527291737
239,370,370,36,male,2,own,None,None,3079,36,car,0,2,0,3,1,0,0.33879579608604804,0.12494604815427103
240,371,371,33,male,2,own,little,None,6070,18,radio/TV,1,2,0,0,1,1,0.19826695624643392,-0.24935335889525775
241,372,372,23,female,2,rent,little,None,2146,10,furniture/equipment,1,2,2,2,1,0,-0.11958282560922981,-0.05104249015831621
242,376,376,34,male,2,own,little,None,2320,18,radio/TV,1,2,0,0,1,1,-0.05243135284895473,-0.2645842151012889
243,380,380,39,male,2,own,None,little,2212,20,furniture/equipment,0,0,0,2,1,0,-0.01987843261221679,0.03409358517304626
244,382,382,25,female,2,rent,None,None,1283,22,car,0,2,2,3,1,0,0.0337739399454237,0.06968578275186905
245,383,383,26,male,2,own,little,rich,1330,12,car,1,3,0,3,1,0,-0.13857378005720017,0.09524153868382411
246,385,385,25,female,2,own,little,None,2238,18,radio/TV,1,2,0,0,1,1,-0.015427833178333803,-0.3233141223729521
247,387,387,40,male,3,own,little,moderate,7374,18,furniture/equipment,1,1,0,2,1,0,0.2798803357383088,0.07420440782552279
248,388,388,27,male,2,own,quite rich,moderate,2326,15,business,2,1,0,4,1,3,-0.012212288609573739,0.2371860615961703
249,389,389,27,female,2,own,little,None,1449,9,business,1,2,0,4,1,3,-0.17217392139342744,0.2433968506768169
250,390,390,30,male,3,own,little,None,1820,18,car,1,2,0,3,1,0,-0.022834885772675746,0.11268218439744426
251,392,392,39,male,3,free,little,little,3249,36,car,1,0,1,3,1,0,0.33581980986708343,0.14534838796305966
252,393,393,31,female,2,own,little,little,1957,6,radio/TV,1,0,0,0,1,1,-0.2669815510238008,-0.2635304625583849
253,394,394,31,male,3,own,little,None,2406,9,furniture/equipment,1,2,0,2,1,0,-0.1572730577844027,0.004125896912291538
254,396,396,55,female,3,free,little,little,2578,12,furniture/equipment,1,0,1,2,1,-1,-0.20779382270687288,0.15482561588988514
255,397,397,46,male,2,own,little,little,2348,36,furniture/equipment,1,0,0,2,1,-1,0.22923321158938278,0.050092921366679546
256,398,398,46,male,2,rent,little,moderate,1223,12,car,1,1,2,3,1,0,-0.23977596429895678,0.22407852811963572
257,400,400,39,male,2,own,little,None,1473,18,radio/TV,1,2,0,0,1,1,-0.13153792442693957,-0.23712228373508107
258,401,401,28,male,2,own,None,moderate,1887,18,business,0,1,0,4,1,0,0.005497903294279341,0.23547482174790868
259,403,403,27,male,1,own,little,None,802,14,car,1,2,0,3,1,0,-0.1437738924383085,0.09489629073415262
260,404,404,43,male,2,own,None,moderate,2899,18,car,0,1,0,3,1,0,-0.013274750384219153,0.20307362744960938
261,405,405,22,male,2,own,little,moderate,2039,24,radio/TV,1,1,0,0,1,1,0.0880788085384175,-0.35517085783285623
262,406,406,43,male,2,own,None,None,2197,24,car,0,2,0,3,1,0,0.04310905333263702,0.18772414656458047
263,407,407,27,male,2,own,little,little,1053,15,radio/TV,1,0,0,0,1,1,-0.15379521798018472,-0.3115835782428568
264,408,408,26,male,3,own,quite rich,None,3235,24,radio/TV,2,2,0,0,1,1,0.1476962875267746,-0.32235758065332204
265,409,409,28,male,2,own,quite rich,rich,939,12,car,2,3,0,3,1,0,-0.17364057757838602,0.105924196149757
266,410,410,20,female,2,own,little,moderate,1967,24,radio/TV,1,1,0,0,1,1,0.09277414636484735,-0.36853319503623627
267,411,411,35,male,3,own,little,None,7253,33,car,1,2,0,3,1,-1,0.5660907920005837,0.14827414290396904
268,412,412,42,male,3,own,little,None,2292,12,business,1,2,0,4,1,0,-0.1362965464505654,0.3397247592343621
269,413,413,40,male,1,rent,quite rich,None,1597,10,car,2,2,2,3,1,0,-0.22113198261729508,0.19116841183661004
270,414,414,35,female,2,own,None,little,1381,24,car,0,0,0,3,1,0,0.027255133107403413,0.13121892107423075
271,415,415,35,male,2,own,little,None,5842,36,car,1,2,0,3,1,-1,0.5247497623764169,0.1344644985269104
272,416,416,33,male,1,own,little,little,2579,12,car,1,0,0,3,1,0,-0.08960714859296201,0.14778000118125853
273,418,418,31,female,3,own,quite rich,None,2782,21,car,2,2,0,3,1,0,0.08677685047751255,0.11907943550417918
274,419,419,33,female,2,own,None,moderate,1042,18,car,0,1,0,3,1,0,-0.0879969276949422,0.1275978365364708
275,421,421,30,male,2,own,None,moderate,2028,12,car,0,1,0,3,1,0,-0.11162365944462814,0.12517256854316672
276,422,422,47,male,1,own,little,moderate,958,12,car,1,1,0,3,1,0,-0.26186836186902174,0.22901761550972405
277,424,424,25,female,2,own,None,moderate,2762,12,furniture/equipment,0,1,0,2,1,0,-0.05444901437268983,-0.038293858601132554
278,425,425,21,male,2,rent,little,moderate,2779,18,car,1,1,2,3,1,0,0.08245522038226713,0.05997721580112106
279,426,426,29,male,2,own,little,None,2743,28,radio/TV,1,2,0,0,1,1,0.16958366538229586,-0.31331103127414534
280,427,427,46,male,2,own,rich,None,1149,18,radio/TV,3,2,0,0,1,1,-0.18575553939866532,-0.19368778717070134
281,428,428,20,male,2,own,little,None,1313,9,furniture/equipment,1,2,0,2,1,0,-0.1771698820441034,-0.07340094642552254
282,432,432,36,male,3,free,little,little,1872,6,furniture/equipment,1,0,1,2,1,0,-0.26706422121736156,0.039042638202605555
283,433,433,33,male,2,own,little,None,2058,24,repairs,1,2,0,6,1,-1,0.12464106357259912,0.5282430057458452
284,434,434,25,male,2,own,little,little,2136,9,furniture/equipment,1,0,0,2,1,0,-0.14672928798441529,-0.03627364753979703
285,435,435,25,male,2,own,None,moderate,1484,12,radio/TV,0,1,0,0,1,1,-0.16732102202599966,-0.3163914529300896
286,437,437,37,female,2,own,rich,None,1287,24,car,3,2,0,3,1,0,0.011670675822378507,0.14362050917088026
287,440,440,39,male,3,own,little,None,1884,12,car,1,2,0,3,1,0,-0.16345212488417968,0.18259446799482343
288,441,441,30,female,2,own,little,little,1620,12,furniture/equipment,1,0,0,2,1,0,-0.15290673197649116,-0.012539282575198873
289,442,442,29,male,2,own,little,moderate,2629,20,vacation/others,1,1,0,7,1,-1,0.12716447534668385,0.6485313588335122
290,443,443,41,male,1,own,little,None,719,12,education,1,2,0,1,1,-1,-0.2783299890518567,-0.0819034956766816
291,446,446,34,female,2,own,little,little,1842,36,car,1,0,0,3,1,0,0.26707050638679586,0.10484110426811362
292,447,447,35,male,2,own,little,moderate,2576,7,radio/TV,1,1,0,0,1,1,-0.2281414397952068,-0.23593774899480555
293,451,451,29,female,2,own,little,None,518,6,radio/TV,1,2,0,0,1,1,-0.35195745596784944,-0.2848045107792384
294,452,452,34,male,2,own,little,None,2759,12,furniture/equipment,1,2,0,2,1,0,-0.09702828798295278,0.019944098826722937
295,453,453,35,male,3,own,little,None,2670,24,car,1,2,0,3,1,0,0.11180980167444564,0.13867919576444532
296,454,454,31,male,2,own,little,little,4817,24,car,1,0,0,3,1,0,0.2714834452769514,0.1252140165596105
297,455,455,29,female,3,own,little,None,2679,24,car,1,2,0,3,1,0,0.14065516381749343,0.09989440432909052
298,456,456,36,male,2,rent,little,little,3905,11,car,1,0,2,3,1,0,-0.0338250431574253,0.17675395118911622
299,457,457,35,male,2,free,little,little,3386,12,car,1,0,1,3,1,0,-0.04608861411778125,0.16539625762227061
300,458,458,27,female,2,own,little,little,343,6,domestic appliances,1,0,0,5,1,-1,-0.28142135186625616,0.3779894839000318
301,459,459,32,male,2,own,little,None,4594,18,radio/TV,1,2,0,0,1,1,0.10615479371159542,-0.26436873661557386
302,460,460,37,male,2,own,little,little,3620,36,furniture/equipment,1,0,0,2,1,-1,0.3550552116632429,-0.0008005142753867766
303,461,461,36,male,2,own,little,little,1721,15,car,1,0,0,3,1,0,-0.10880047315511805,0.1565893647327343
304,462,462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,1,1,2,2,1,0,-0.08010423484850993,0.021437311293810112
305,463,463,38,male,2,own,None,moderate,754,12,education,0,1,0,1,1,-1,-0.26190659627257895,-0.10111936821511033
306,464,464,34,male,2,own,little,None,1950,18,business,1,2,0,4,1,0,-0.018624467276365773,0.27467632363919475
307,465,465,63,male,2,own,little,little,2924,24,car,1,0,0,3,1,-1,-0.0033851451954553633,0.3213880321149297
308,467,467,32,male,2,own,None,None,7238,48,radio/TV,0,2,0,0,1,-1,0.7917583975259604,-0.3054989723490343
309,468,468,26,female,2,own,little,None,2764,33,business,1,2,0,4,1,0,0.32852732279863894,0.19938857501026544
310,469,469,35,male,1,own,little,None,4679,24,car,1,2,0,3,1,0,0.24359438596551458,0.15030657501397293
311,471,471,23,female,2,own,little,little,448,6,education,1,0,0,1,1,-1,-0.3137748115118289,-0.18869603431898518
312,472,472,28,male,1,own,little,little,654,9,car,1,0,0,3,1,0,-0.24355223832637107,0.10991799423154493
313,474,474,33,male,2,own,little,moderate,1245,18,radio/TV,1,1,0,0,1,1,-0.11823907620971727,-0.27727874708787636
314,475,475,26,female,2,rent,little,little,3114,18,furniture/equipment,1,0,2,2,1,0,0.06636497349631151,-0.041070348049220474
315,476,476,24,male,2,own,quite rich,None,2569,39,car,2,2,0,3,1,0,0.41306773461508184,0.038677311636882525
316,477,477,25,male,2,own,little,rich,5152,24,radio/TV,1,3,0,0,1,1,0.27815510284141204,-0.31773547813787545
317,478,478,39,male,1,own,moderate,moderate,1037,12,business,4,1,0,4,1,-1,-0.20449341934350204,0.3130428243604976
318,479,479,44,male,2,own,little,little,1478,15,furniture/equipment,1,0,0,2,1,0,-0.17693334092888824,0.07161498206567286
319,480,480,23,female,1,own,little,moderate,3573,12,radio/TV,1,1,0,0,1,1,-0.020870339922317502,-0.3172466888103092
320,481,481,26,male,2,own,little,moderate,1201,24,car,1,1,0,3,1,0,0.057830136471142886,0.07192182457088318
321,483,483,30,female,2,own,rich,None,960,15,furniture/equipment,3,2,0,2,1,0,-0.14498433561629115,-0.022002405391085146
322,484,484,44,male,2,own,quite rich,None,1163,12,car,2,2,0,3,1,0,-0.23429346121045982,0.21078564265891095
323,485,485,47,male,3,own,little,moderate,1209,6,car,1,1,0,3,1,0,-0.34783646001856694,0.24175686839996105
324,486,486,52,male,2,own,little,None,3077,12,radio/TV,1,2,0,0,1,1,-0.18997228037082917,-0.13240577300205153
325,487,487,62,female,2,free,little,None,3757,24,car,1,2,1,3,1,-1,0.05596640811245289,0.3197363272105217
326,489,489,26,male,2,rent,little,None,3518,6,car,1,2,2,3,1,0,-0.09748028548807906,0.11919146036765738
327,490,490,26,male,2,own,little,None,1934,12,radio/TV,1,2,0,0,1,1,-0.14251148939789923,-0.3073141992067946
328,493,493,38,male,2,own,None,moderate,368,6,radio/TV,0,1,0,0,1,1,-0.40417950403843456,-0.22741733719890933
329,494,494,39,male,1,rent,little,little,2122,12,car,1,0,2,3,1,0,-0.147840013853182,0.18397192755748518
330,495,495,20,male,2,own,None,little,2996,24,furniture/equipment,0,0,0,2,1,0,0.18931247483026462,-0.09187672436737497
331,497,497,40,male,2,own,little,None,1585,24,furniture/equipment,1,2,0,2,1,0,0.002571665443881843,0.02941317569990309
332,498,498,32,male,1,own,little,moderate,1301,18,radio/TV,1,1,0,0,1,1,-0.10985647362065451,-0.28342745232920974
333,500,500,27,female,2,own,little,little,3123,24,car,1,0,0,3,1,0,0.1791986079128091,0.08951849205988481
334,501,501,42,male,2,free,little,little,5493,36,car,1,0,1,3,1,-1,0.46889221977538464,0.1777543039607584
335,503,503,38,male,2,own,moderate,moderate,1216,24,radio/TV,4,1,0,0,1,1,-0.04125424420901181,-0.25636907587036994
336,504,504,24,female,2,rent,little,little,1207,24,car,1,0,2,3,1,0,0.06764204850100895,0.05901092369476201
337,505,505,27,male,1,own,None,None,1309,10,car,0,2,0,3,1,0,-0.17880480781449462,0.10535499615446803
338,506,506,36,male,2,own,quite rich,rich,2360,15,car,2,3,0,3,1,0,-0.06688392295004437,0.16028767002912458
339,508,508,28,male,2,own,little,None,1413,24,radio/TV,1,2,0,0,1,1,0.01876003250408574,-0.3199570434990238
340,510,510,26,male,2,own,little,little,759,12,car,1,0,0,3,1,0,-0.17602972711056025,0.09193679326248001
341,514,514,54,male,2,own,None,None,2255,24,car,0,2,0,3,1,-1,-0.004887126260950576,0.259260777098382
342,515,515,37,female,2,own,little,little,609,6,car,1,0,0,3,1,0,-0.3401030761277601,0.17355614752995652
343,516,516,40,male,1,own,little,little,1361,6,car,1,0,0,3,1,0,-0.3049015471364699,0.19732689685752322
344,518,518,43,male,2,own,moderate,little,1203,6,car,4,0,0,3,1,0,-0.32939338385193556,0.215830889033736
345,521,521,24,female,2,own,little,little,3190,18,radio/TV,1,0,0,0,1,1,0.051729775645073285,-0.32427709749602923
346,523,523,23,female,2,own,moderate,None,3488,24,car,4,2,0,3,1,0,0.22197821009834867,0.06573972907075022
347,524,524,26,female,1,own,little,moderate,1113,18,radio/TV,1,1,0,0,1,1,-0.09393374119654176,-0.32335240987315433
348,525,525,30,male,2,own,little,moderate,7966,26,car,1,1,0,3,1,-1,0.516902218013073,0.13320431334109314
349,526,526,31,female,2,own,moderate,None,1532,15,education,4,2,0,1,1,-1,-0.12669140977875631,-0.14756955081888365
350,527,527,42,male,1,own,little,None,1503,4,radio/TV,1,2,0,0,1,1,-0.3827077723148459,-0.1911949217313064
351,529,529,41,male,1,own,little,little,662,6,car,1,0,0,3,1,0,-0.35546308835129536,0.19975414622158116
352,530,530,32,male,2,own,little,moderate,2273,36,education,1,1,0,1,1,1,0.2757222808717095,-0.17631103112514496
353,531,531,28,female,2,rent,moderate,moderate,2631,15,car,4,1,2,3,1,0,-0.011433789853032141,0.11007361489429328
354,532,532,41,male,2,rent,little,None,1503,12,car,1,2,2,3,1,0,-0.19786295135364296,0.19333500191296896
355,533,533,26,male,2,own,moderate,None,1311,24,radio/TV,4,2,0,0,1,1,0.02148745717534776,-0.3334930100590419
356,534,534,25,male,2,own,None,None,3105,24,radio/TV,0,2,0,0,1,1,0.14387782855379722,-0.32958278790581125
357,537,537,37,female,2,own,little,moderate,3612,18,furniture/equipment,1,1,0,2,1,0,0.04723152017851798,0.03301284638193909
358,539,539,45,female,1,own,little,rich,3049,18,furniture/equipment,1,3,0,2,1,0,-0.027372967628793942,0.08153690911216006
359,540,540,23,male,2,rent,little,moderate,1534,12,radio/TV,1,1,2,0,1,1,-0.15462283736855423,-0.329047697416475
360,541,541,60,male,2,free,little,None,2032,24,car,1,2,1,3,1,-1,-0.04777026891086188,0.29680701245638547
361,542,542,31,male,2,own,None,little,6350,30,furniture/equipment,0,0,0,2,1,-1,0.45995732543222606,-0.012550569123972394
362,543,543,34,male,1,own,little,rich,2864,18,furniture/equipment,1,3,0,2,1,0,0.01229237960791676,0.009265247635257419
363,544,544,61,male,1,own,little,None,1255,12,car,1,2,0,3,1,-1,-0.3083143274246882,0.3213559333725819
364,545,545,43,male,2,free,little,little,1333,24,car,1,0,1,3,1,0,-0.013566845536195008,0.18272362109340481
365,546,546,37,female,2,own,little,None,2022,24,car,1,2,0,3,1,0,0.0598845481239891,0.14787442840851234
366,547,547,32,male,2,own,little,None,1552,24,radio/TV,1,2,0,0,1,1,0.009041371325364792,-0.2932613073183701
367,548,548,24,female,1,own,little,little,626,12,radio/TV,1,0,0,0,1,1,-0.21889417356438196,-0.327830065903662
368,550,550,23,female,2,own,None,None,996,12,repairs,0,2,0,6,1,-1,-0.10279735822174238,0.47994150066301206
369,551,551,45,male,1,own,quite rich,None,1750,6,radio/TV,2,2,0,0,1,1,-0.3464884575862858,-0.17410911788704625
370,553,553,27,male,2,own,moderate,moderate,1995,12,car,4,1,0,3,1,0,-0.09966086981706394,0.10556313612969173
371,555,555,22,male,2,own,little,moderate,1331,12,radio/TV,1,1,0,0,1,1,-0.16322988501910662,-0.33669540277011667
372,556,556,28,female,2,own,moderate,moderate,2278,18,car,4,1,0,3,1,0,0.016626917795051516,0.10238729916133632
373,557,557,29,female,2,own,None,None,5003,21,car,0,2,0,3,1,0,0.24188635046393306,0.11898816879316695
374,558,558,27,male,2,own,little,little,3552,24,furniture/equipment,1,0,0,2,1,0,0.19282031241012704,-0.04334910000827936
375,559,559,31,male,1,own,little,moderate,1928,18,furniture/equipment,1,1,0,2,1,0,-0.034979016735069195,-0.015570428413022624
376,560,560,49,male,2,free,None,little,2964,24,car,0,0,1,3,1,0,0.06516704480326245,0.2310001506916393
377,562,562,29,female,2,own,little,rich,683,6,radio/TV,1,3,0,0,1,1,-0.3411339336144267,-0.28384954931772916
378,566,566,36,male,2,own,little,little,1372,12,car,1,0,0,3,1,0,-0.18291034863412775,0.16021275352036105
379,567,567,34,male,2,own,rich,None,2578,24,radio/TV,3,2,0,0,1,1,0.06692567183327036,-0.27437755657390034
380,570,570,23,female,1,rent,little,little,3234,24,furniture/equipment,1,0,2,2,1,0,0.19079709176301357,-0.07108082468354004
381,571,571,38,male,2,own,little,None,5954,30,radio/TV,1,2,0,0,1,-1,0.3719778116449352,-0.24023376675170036
382,573,573,22,female,1,own,little,little,806,15,business,1,0,0,4,1,-1,-0.08837406497432672,0.19602477399122104
383,574,574,27,male,1,own,little,moderate,1082,9,radio/TV,1,1,0,0,1,1,-0.25432587347797153,-0.30012918259174126
384,575,575,24,female,2,own,little,None,2788,15,furniture/equipment,1,2,0,2,1,0,0.0031821608350963,-0.050259470168953296
385,576,576,27,female,2,own,little,moderate,2930,12,radio/TV,1,1,0,0,1,1,-0.08188593734574524,-0.29507689119268715
386,577,577,33,female,2,own,None,None,1927,24,education,0,2,0,1,1,-1,0.043450574687127014,-0.149267635118582
387,578,578,27,male,2,own,little,moderate,2820,36,car,1,1,0,3,1,0,0.3641886281411791,0.06519172767844322
388,579,579,27,male,1,own,little,None,937,24,education,1,2,0,1,1,-1,0.0067644287630877695,-0.19383428412998363
389,580,580,30,male,2,own,little,moderate,1056,18,car,1,1,0,3,1,0,-0.07295107412428191,0.10826042344839544
390,581,581,49,male,1,own,little,moderate,3124,12,car,1,1,0,3,1,0,-0.1292033614647406,0.2544992818064395
391,582,582,26,female,2,rent,little,None,1388,9,furniture/equipment,1,2,2,2,1,0,-0.20050508735268152,-0.0341299927915812
392,585,585,20,female,2,rent,little,little,2039,18,furniture/equipment,1,0,2,2,1,0,0.02410307363263027,-0.0861289469044299
393,586,586,36,male,2,rent,little,little,2799,9,car,1,0,2,3,1,0,-0.14051976532720478,0.1741150002209599
394,587,587,21,male,1,own,little,little,1289,12,furniture/equipment,1,0,0,2,1,0,-0.1322368914937628,-0.07271031350695795
395,588,588,47,male,1,own,little,little,1217,18,domestic appliances,1,0,0,5,1,-1,-0.11340683283846174,0.48993104541851024
396,589,589,60,male,2,own,little,little,2246,12,furniture/equipment,1,0,0,2,1,-1,-0.25311788512114414,0.185268184545046
397,591,591,42,female,2,rent,None,moderate,1965,24,car,0,1,2,3,1,0,0.032599689632089125,0.17990859949952193
398,593,593,20,female,1,rent,little,moderate,2718,24,car,1,1,2,3,1,0,0.18559593321395776,0.04186480212920071
399,596,596,23,female,2,rent,little,little,1442,24,car,1,0,2,3,1,0,0.08776653291590614,0.05389820694803571
400,597,597,36,male,1,own,little,moderate,4241,24,business,1,1,0,4,1,0,0.22467314282223,0.28959489164887015
401,598,598,31,male,2,own,little,None,2775,18,car,1,2,0,3,1,0,0.03510118496741564,0.12468219895747967
402,599,599,32,male,2,free,little,None,3863,24,business,1,2,1,4,1,0,0.21871409586478094,0.2615159082603333
403,600,600,45,female,2,own,little,moderate,2329,7,radio/TV,1,1,0,0,1,1,-0.2914355717669173,-0.1726391636272152
404,601,601,30,female,2,own,little,moderate,918,9,furniture/equipment,1,1,0,2,1,0,-0.2501723855813084,-0.010958932550679753
405,603,603,28,female,3,own,little,None,3349,36,furniture/equipment,1,2,0,2,1,0,0.3796608784563069,-0.06062428649386974
406,604,604,23,female,2,own,little,rich,1275,10,furniture/equipment,1,3,0,2,1,0,-0.17671790421426767,-0.056083529146040735
407,605,605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,2,0,0,2,1,0,0.16887383176249254,-0.07990342201709928
408,608,608,33,male,2,own,little,None,2051,18,radio/TV,1,2,0,0,1,1,-0.06536780944087626,-0.2726139050395343
409,609,609,45,male,2,free,None,None,1300,15,car,0,2,1,3,1,0,-0.1787993367273854,0.2124080864580997
410,613,613,22,female,2,rent,little,little,3632,24,car,1,0,2,3,1,0,0.23613335794257023,0.060100336608888465
411,614,614,22,female,2,own,little,None,1808,18,furniture/equipment,1,2,0,2,1,0,-0.0004681870609941477,-0.07452026620309407
412,617,617,37,male,2,rent,little,little,3676,6,car,1,0,2,3,1,0,-0.1389167545644408,0.19130685542358575
413,619,619,49,male,1,own,little,None,640,12,car,1,2,0,3,1,0,-0.29214657071263267,0.24012277107680957
414,620,620,27,male,2,own,little,moderate,3652,21,business,1,1,0,4,1,0,0.17720244439662436,0.2335739252198732
415,621,621,32,male,2,own,little,None,1530,18,car,1,2,0,3,1,0,-0.05127637567146343,0.12394939403072526
416,623,623,22,female,2,rent,little,little,1858,12,furniture/equipment,1,0,2,2,1,0,-0.09962130335016352,-0.06294433000233199
417,625,625,35,male,2,own,None,None,1979,15,radio/TV,0,2,0,0,1,1,-0.13072561618600262,-0.25444171177816755
418,626,626,41,male,2,own,little,rich,2116,6,furniture/equipment,1,3,0,2,1,0,-0.2746043510524115,0.07281889050521678
419,627,627,29,male,2,own,moderate,moderate,1437,9,car,4,1,0,3,1,0,-0.19689886967590828,0.1209225338135222
420,630,630,28,female,2,own,little,little,3660,24,radio/TV,1,0,0,0,1,1,0.16615672782615235,-0.30695220468683443
421,631,631,44,male,2,own,little,little,1553,18,furniture/equipment,1,0,0,2,1,0,-0.12079707226707762,0.06640577848741862
422,632,632,23,male,2,own,None,moderate,1444,15,radio/TV,0,1,0,0,1,1,-0.10931009106016637,-0.33521186245623835
423,633,633,19,female,2,rent,little,None,1980,9,furniture/equipment,1,2,2,2,1,0,-0.12870744819479024,-0.0760134004366611
424,634,634,25,female,1,own,little,moderate,1355,24,car,1,1,0,3,1,0,0.07264125536708704,0.06634030856123407
425,635,635,47,male,2,own,little,None,1393,12,education,1,2,0,1,1,-1,-0.2623725283622514,-0.03916574255520067
426,636,636,28,female,2,own,quite rich,None,1376,24,radio/TV,2,2,0,0,1,1,0.01633293961271212,-0.3201711863722107
427,638,638,34,female,2,own,little,None,1493,12,radio/TV,1,2,0,0,1,1,-0.20911313037419552,-0.25808404375957894
428,639,639,26,male,2,own,little,little,4370,42,radio/TV,1,0,0,0,1,2,0.5294479165406358,-0.3496482651462788
429,643,643,33,male,2,own,little,None,1851,24,radio/TV,1,2,0,0,1,1,0.023945741072454087,-0.28505798802348653
430,644,644,32,male,3,own,little,little,1880,18,radio/TV,1,0,0,0,1,1,-0.07187574972591636,-0.2800764057460955
431,646,646,32,male,2,own,little,little,4583,30,furniture/equipment,1,0,0,2,1,0,0.33933807589342757,-0.01630452485622876
432,647,647,26,female,2,own,quite rich,None,1386,12,car,2,2,0,3,1,0,-0.13490034216755364,0.09556564681621511
433,648,648,38,male,2,free,little,rich,947,24,car,1,3,1,3,1,0,-0.015341504635605898,0.14812552316937347
434,651,651,37,male,1,own,little,moderate,1922,12,furniture/equipment,1,1,0,2,1,0,-0.16606055911038256,0.034518279897694674
435,652,652,45,male,2,own,little,little,2303,24,car,1,0,0,3,1,0,0.040644017082064096,0.20128326370548358
436,654,654,35,male,2,own,little,None,2346,24,car,1,2,0,3,1,0,0.09055633959863363,0.13680399871275445
437,655,655,22,male,2,free,little,little,3973,14,car,1,0,1,3,1,0,0.08778035156000692,0.08088484686217201
438,656,656,41,male,1,own,little,moderate,888,12,car,1,1,0,3,1,0,-0.2382051710345824,0.1897756001018891
439,658,658,28,female,2,own,little,moderate,4221,30,business,1,1,0,4,1,-1,0.36346748986189714,0.2264100778149511
440,659,659,41,male,2,own,little,moderate,6361,18,furniture/equipment,1,1,0,2,1,-1,0.2087213034993939,0.07481433659010255
441,661,661,23,male,2,own,None,little,900,12,car,0,0,0,3,1,0,-0.15265304118302292,0.07333441111750572
